index,date,Pressure,Humidity,Temperature,NO_s,NO2_s,O3_s,CO_s,NO,NO2,O3,CO,Hour,Day_of_week,Day_of_month,Month,Day,is_weekday,daypart,Season,NO_lag_feature,NO2_lag_feature,CO_lag_feature,O3_lag_feature,NO_rolling_mean,NO2_rolling_mean,CO_rolling_mean,O3_rolling_mean,NO_rolling_min,NO2_rolling_min,CO_rolling_min,O3_rolling_min,NO_rolling_max,NO2_rolling_max,CO_rolling_max,O3_rolling_max,NO_rolling_std,NO2_rolling_std,CO_rolling_std,O3_rolling_std
2106,2019-05-28 00:00:00,99998.89587760306,24.669803654908627,31.32802804929877,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.022289947339094177,0.007002600126552347,0.001193371169982469,0.11130819405483836,0,1,28,5,Tuesday,1,3,1,0.022289947339094177,0.007002600126552347,0.11130819405483836,0.001193371169982469,0.021418831581168522,0.005374548927832079,0.07754145789392149,0.0024625114863205027,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.029926962123256788,0.0070340444444444,0.1123566896551725,0.010322410001941111,0.001378508281397951,0.001696078018142581,0.031094653380955416,0.0029157757962179343
2107,2019-05-28 01:00:00,99998.89587760306,24.669803654908627,31.32802804929877,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.022289947339094177,0.007002600126552347,0.001193371169982469,0.11130819405483836,1,1,28,5,Tuesday,1,3,1,0.022289947339094177,0.007002600126552347,0.11130819405483836,0.001193371169982469,0.021442873750280478,0.005414922203354681,0.07818945641696004,0.002447739732886281,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.029926962123256788,0.0070340444444444,0.1123566896551725,0.010322410001941111,0.0013758461448179912,0.0016939612206196624,0.031143867182206648,0.002913175735934818
2108,2019-05-28 02:00:00,99998.89587760306,24.669803654908627,31.32802804929877,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.022289947339094177,0.007002600126552347,0.001193371169982469,0.11130819405483836,2,1,28,5,Tuesday,1,3,1,0.022289947339094177,0.007002600126552347,0.11130819405483836,0.001193371169982469,0.021466915919392433,0.005455295478877282,0.0788374549399986,0.0024329679794520597,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.029926962123256788,0.0070340444444444,0.1123566896551725,0.010322410001941111,0.0013727527695882732,0.0016908664377784542,0.031179397252488077,0.0029104980686625813
2109,2019-05-28 03:00:00,99998.89587760306,24.669803654908627,31.32802804929877,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.022289947339094177,0.007002600126552347,0.001193371169982469,0.11130819405483836,3,1,28,5,Tuesday,1,3,1,0.022289947339094177,0.007002600126552347,0.11130819405483836,0.001193371169982469,0.021490958088504392,0.005495668754399882,0.07948545346303715,0.002418196226017838,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.029926962123256788,0.0070340444444444,0.1123566896551725,0.010322410001941111,0.001369225232928451,0.001686788286642249,0.031201290338355576,0.002907742580002238
2110,2019-05-28 04:00:00,100513.57075471699,32.00623854447439,27.868059299191373,0.0659276219512195,0.0003514999999999999,0.0012954879999999,0.08724375,0.05793992114842951,0.006185257366970472,0.0018210542114472465,0.11529482578720661,4,1,28,5,Tuesday,1,0,1,0.022289947339094177,0.007002600126552347,0.11130819405483836,0.001193371169982469,0.021939404707727483,0.0055263117589750815,0.08017497939995454,0.0024060398185897203,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.05793992114842951,0.0070340444444444,0.11529482578720661,0.010322410001941111,0.004202338625755966,0.0016754849904514653,0.03125411336965739,0.0029040974999690237
2111,2019-05-28 05:00:00,100544.20338983051,25.21698728813559,34.043389830508474,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.04885498728510561,0.009618724885736016,0.0021831213111281676,0.09255505976494362,5,1,28,5,Tuesday,1,0,1,0.022289947339094177,0.007002600126552347,0.11130819405483836,0.001193371169982469,0.022279697352387193,0.005597829376868917,0.08062763277414002,0.0024012496353901466,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.05793992114842951,0.009618724885736016,0.11529482578720661,0.010322410001941111,0.005122225192594503,0.0017203686558831045,0.031113683777564308,0.0029035105953130374
2112,2019-05-28 06:00:00,100544.20338983051,25.21698728813559,34.043389830508474,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.04885498728510561,0.009618724885736016,0.0021831213111281676,0.09255505976494362,6,1,28,5,Tuesday,1,0,1,0.022289947339094177,0.007002600126552347,0.11130819405483836,0.001193371169982469,0.022619989997046903,0.005669346994762752,0.0810802861483255,0.002397302224971021,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.05793992114842951,0.009618724885736016,0.11529482578720661,0.010322410001941111,0.0058805053706621445,0.0017611740073773536,0.03096593176641461,0.0029031589829445403
2113,2019-05-28 07:00:00,100544.20338983051,25.21698728813559,34.043389830508474,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.04885498728510561,0.009618724885736016,0.0021831213111281676,0.09255505976494362,7,1,28,5,Tuesday,1,0,1,0.022289947339094177,0.007002600126552347,0.11130819405483836,0.001193371169982469,0.022960282641706617,0.005740864612656587,0.08153293952251099,0.002382028305400414,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.05793992114842951,0.009618724885736016,0.11529482578720661,0.010322410001941111,0.0065336901822576595,0.0017981787090213944,0.030810751993083967,0.0028945541027742697
2114,2019-05-28 08:00:00,100544.20338983051,25.21698728813559,34.043389830508474,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.04885498728510561,0.009618724885736016,0.0021831213111281676,0.09255505976494362,8,1,28,5,Tuesday,1,0,1,0.05793992114842951,0.006185257366970472,0.11529482578720661,0.0018210542114472465,0.023300575286366327,0.005812382230550422,0.08198559289669648,0.002355682316456179,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.05793992114842951,0.009618724885736016,0.11529482578720661,0.010322410001941111,0.007110800438324873,0.0018316131327585977,0.030648031631109934,0.0028672264310317702
2115,2019-05-28 09:00:00,100544.20338983051,25.21698728813559,34.043389830508474,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.04885498728510561,0.009618724885736016,0.0021831213111281676,0.09255505976494362,9,1,28,5,Tuesday,1,0,1,0.04885498728510561,0.009618724885736016,0.09255505976494362,0.0021831213111281676,0.02364086793102604,0.005883899848444259,0.08243824627088196,0.002328500589508545,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.05793992114842951,0.009618724885736016,0.11529482578720661,0.010322410001941111,0.007629119860261704,0.0018616696484095542,0.03047764990298313,0.0028375342619292943
2116,2019-05-28 10:00:00,100544.20338983051,25.21698728813559,34.043389830508474,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.04885498728510561,0.009618724885736016,0.0021831213111281676,0.09255505976494362,10,1,28,5,Tuesday,1,1,1,0.04885498728510561,0.009618724885736016,0.09255505976494362,0.0021831213111281676,0.02398116057568575,0.005955417466338093,0.08289089964506745,0.002301318862560912,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.05793992114842951,0.009618724885736016,0.11529482578720661,0.010322410001941111,0.008099942487660342,0.0018885095458388917,0.03029947756350273,0.0028072638089542456
2117,2019-05-28 11:00:00,100821.28297872341,34.04406063829787,26.15458510638298,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.06394935425531885,0.007686713985178043,0.0030066129889765266,0.09912843179669026,11,1,28,5,Tuesday,1,1,1,0.04885498728510561,0.009618724885736016,0.09255505976494362,0.0021831213111281676,0.024501148065228955,0.006003934954463381,0.08341202564458362,0.0022775683509376468,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.06394935425531885,0.009618724885736016,0.11529482578720661,0.010322410001941111,0.009187817341225672,0.0018798916297145965,0.030142001935719892,0.002776792033492405
2118,2019-05-28 12:00:00,100840.42824601367,31.310212984054672,28.630990888382687,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.03806808359908872,0.010294600579132106,0.0019609797863149184,0.06691446998987596,12,1,28,5,Tuesday,1,1,1,0.04885498728510561,0.009618724885736016,0.09255505976494362,0.0021831213111281676,0.024713025189817037,0.006083498711564313,0.08359758954194547,0.002249461034303291,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.06394935425531885,0.010294600579132106,0.11529482578720661,0.010322410001941111,0.009293681358622172,0.0019184408644933443,0.02998295977300555,0.002745405911375886
2119,2019-05-28 13:00:00,100840.42824601367,31.310212984054672,28.630990888382687,0.0659276219512195,0.0003515,0.0012954879999999,0.08724375,0.03806808359908872,0.010294600579132106,0.0019609797863149184,0.06691446998987596,13,1,28,5,Tuesday,1,1,1,0.04885498728510561,0.009618724885736016,0.09255505976494362,0.0021831213111281676,0.02492490231440512,0.006163062468665244,0.08378315343930735,0.0022213537176689353,0.02027040513368984,0.003611244982653841,0.04910033584313711,0.0005527412222222,0.06394935425531885,0.010294600579132106,0.11529482578720661,0.010322410001941111,0.009393517622845772,0.001952952851249625,0.0298219026884757,0.002713364440250368
